PID,Monitored Facility,Contingency Name,lo_facility,lo_outage,Earliest,Latest
7724,Bosserman-New Carlisle 138 l/o Babcock-Stillwell 345+Stillwell 345/138,L345.Babcock-Stillwell+345/138.Stillwell.1,BOSSERMAN-NEW CARLISLE 138,BABCOCK-STILLWELL 345+STILLWELL 345/138,2016-10-06 04:00:00-04:00,2018-05-19 10:00:00-04:00
7727,McLean-Dimond Star Tap 138kV l/o Havana-Powerton Jct-HuffIP 138kV,Havana-Powerton Jct-HuffIP 138kV,MCLEAN-DIMOND STAR TAP 138 KV,HAVANA-POWERTON JCT-HUFFIP 138 KV,2018-05-11 19:00:00-04:00,2018-05-17 20:20:00-04:00
7778,W Mt Vernon - W Salem 138 kV l/o Coffeen - Pana 345 kV,L345.Coffeen-Pana,W MT VERNON - W SALEM 138 KV,COFFEEN - PANA 345 KV,2018-04-24 07:00:00-04:00,2018-05-02 13:00:00-04:00
7795,W Mt Vernon - W Salem 138 kV l/o Coffeen - Pana 345 kV,Coffeen-Pana 345kV,W MT VERNON - W SALEM 138 KV,COFFEEN - PANA 345 KV,2018-04-20 18:40:00-04:00,2018-04-26 14:10:00-04:00
7798,Midway-Schram City 138 kV l/o Coffeen-Pana 345 kV,L345.Coffeen-Pana,MIDWAY-SCHRAM CITY 138 KV,COFFEEN-PANA 345 KV,2017-06-14 07:00:00-04:00,2018-04-24 23:00:00-04:00
7800,Midway-Schram City 138 kV l/o Coffeen-Pana 345 kV,Coffeen-Pana 345kV,MIDWAY-SCHRAM CITY 138 KV,COFFEEN-PANA 345 KV,2017-06-12 14:00:00-04:00,2018-04-21 10:55:00-04:00
7803,W MtVernon 345/138 TR4 l/o Prairie St-Stallin 345,Prairie State - Stallings 345 kV,W MTVERNON 345/138 TR4,PRAIRIE ST-STALLIN 345,2018-04-19 10:15:00-04:00,2018-04-20 11:45:00-04:00
7842,Tilden Tap-Sparta Tap 138 kV l/o West Frankfort 230/138 kV Xfmr,W Franfort 230/138 kV + W Frankfort-Consol-Ashley,TILDEN TAP-SPARTA TAP 138 KV,WEST FRANKFORT 230/138 KV XFMR,2018-04-11 00:10:00-04:00,2018-04-12 02:00:00-04:00
7853,Neoga 345/138kV l/o Coffeen-Pana 345kV,Coffeen-Pana 345kV,NEOGA 345/138 KV,COFFEEN-PANA 345 KV,2018-03-17 07:00:00-04:00,2018-04-09 08:00:00-04:00
7854,Newton 345/138 TR2 l/o Newton-Casey 345,L345.Newton-Casey (Ameren),NEWTON 345/138 TR2,NEWTON-CASEY 345,2018-03-16 05:00:00-04:00,2018-04-08 23:00:00-04:00
7855,Neoga 345/138kV l/o Coffeen-Pana 345kV,L345.Coffeen-Pana,NEOGA 345/138 KV,COFFEEN-PANA 345 KV,2018-03-26 00:00:00-04:00,2018-04-08 23:00:00-04:00
7864,Tilden Jct - Sparta Tap 138 kV l/o Pickneyville - West Frankfort 230 kV,Pickneyville-St. John Tap-West Frankfort 230 kV,TILDEN JCT - SPARTA TAP 138 KV,PICKNEYVILLE - WEST FRANKFORT 230 KV,2018-04-03 19:00:00-04:00,2018-04-06 20:45:00-04:00
7887,Maroa E-Goose Creek 345 kV l/o Clinton-Brokaw 345 kV,L345.Brokaw-Clinton,MAROA E-GOOSE CREEK 345 KV,CLINTON-BROKAW 345 KV,2018-03-15 06:00:00-04:00,2018-03-31 06:00:00-04:00
7930,Maroa E - Goose Creek 345 kV l/o Clinton - Brokaw 345 kV,Clinton-Brokaw 345kV,MAROA E - GOOSE CREEK 345 KV,CLINTON - BROKAW 345 KV,2018-03-12 16:00:00-04:00,2018-03-19 07:00:00-04:00
8138,Reynolds-Magnetation 138 l/o Reynolds-Olive 34527 345,L345.Reynolds-Olive.2,REYNOLDS-MAGNETATION 138,REYNOLDS-OLIVE 34527 345,2017-10-06 17:00:00-04:00,2018-02-01 10:00:00-05:00
8145,6101-Hennepin 138 l/o Kickapoo Crk-Lasalle 138,Kickapoo Crk-Lasalle 138,6101-HENNEPIN 138,KICKAPOO CRK-LASALLE 138,2012-11-22 06:00:00-05:00,2018-01-31 07:00:00-05:00
8344,HavanaSouth-MasonCityWest 138kV l/o DuckCreek-MapleRidge 345kV,Duck Creek-Maple Ridge 345 kV,HAVANASOUTH-MASONCITYWEST 138 KV,DUCKCREEK-MAPLERIDGE 345 KV,2017-11-10 10:00:00-05:00,2017-12-22 21:00:00-05:00
8365,Pana - Shelbyville 138 kV l/o Goose Creek - Rising 345 kV,Goose Creek-Rising 345 kV,PANA - SHELBYVILLE 138 KV,GOOSE CREEK - RISING 345 KV,2017-12-13 17:00:00-05:00,2017-12-16 01:00:00-05:00
8369,Mclean-Diamond Star Tap 138 kV l/o Kickapoo Creek Lasal 138 kV,L138.Kickapoo Creek-Lasalle.0112,MCLEAN-DIAMOND STAR TAP 138 KV,KICKAPOO CREEK LASAL 138 KV,2017-12-14 07:00:00-05:00,2017-12-15 11:00:00-05:00
8426,Rantoul Jct-Paxton East 138 kV l/o Vermilion-NChampagne 138kV,Vermilion-Champagne 138,RANTOUL JCT-PAXTON EAST 138 KV,VERMILION-NCHAMPAGNE 138 KV,2017-12-05 12:00:00-05:00,2017-12-05 12:00:00-05:00
8428,Rantoul Jct-Paxton East l/o Paxton-Paxton East+Paxton-Gibson,Paxton-Paxton East + Paxton-Gibson,RANTOUL JCT-PAXTON EAST,PAXTON-PAXTON EAST+PAXTON-GIBSON,2017-12-05 11:00:00-05:00,2017-12-05 11:00:00-05:00
8463,Lakeview-282 Zion 138 kV l/o Zion-Pleasant Prairie 345 kV,L345.Zion-Pleasant Prairie.2221,LAKEVIEW-282 ZION 138 KV,ZION-PLEASANT PRAIRIE 345 KV,2017-11-27 10:00:00-05:00,2017-11-27 12:00:00-05:00
8472,6101-Hennepin 138 l/o Kickapoo Crk-Lasalle 138,L138.Kickapoo Creek-Lasalle.0112,6101-HENNEPIN 138,KICKAPOO CRK-LASALLE 138,2015-03-24 00:00:00-04:00,2017-11-22 23:00:00-05:00
8486,Holland NW - neoga s l/o Newton-Casey,Newton-Casey 345 kV,HOLLAND NW - NEOGA S,NEWTON-CASEY,2014-09-23 06:00:00-04:00,2017-11-18 23:00:00-05:00
8491,Cherry Valley-Silver Lake 345 l/o Nelson-Electric Jct 345,L345.Nelson-ElectricJunction.15502,CHERRY VALLEY-SILVER LAKE 345,NELSON-ELECTRIC JCT 345,2015-12-30 00:00:00-05:00,2017-11-17 18:00:00-05:00
8507,Neoga 345/138 kV xfmr 2 l/o Casey West-Kansas 345kV,L345.Kansas-WestCasey (Ameren),NEOGA 345/138 KV XFMR 2,CASEY WEST-KANSAS 345 KV,2017-11-08 06:00:00-05:00,2017-11-16 11:00:00-05:00
8522,Neoga 345/138 kV xfmr 2 l/o Casey West-Kansas 345kV,Kansas - W Casey 345kV,NEOGA 345/138 KV XFMR 2,CASEY WEST-KANSAS 345 KV,2017-11-07 08:00:00-05:00,2017-11-13 18:00:00-05:00
8542,Eugene-Cayuga3 345kV l/o Petersburg-Sullivan 345kV,L345.Petersburg-Sullivan.Tie,EUGENE-CAYUGA3 345 KV,PETERSBURG-SULLIVAN 345 KV,2017-11-07 05:00:00-05:00,2017-11-10 08:00:00-05:00
8576,Eugene-Cayuga3 345kV l/o Petersburg-Sullivan 345kV,BASE,EUGENE-CAYUGA3 345 KV,PETERSBURG-SULLIVAN 345 KV,2017-11-05 09:00:00-05:00,2017-11-05 09:00:00-05:00
