dz_name,pn_name,confidence_tier,score,match_method,kv,dz_zone,pn_zone,n_candidates_considered,runner_up_pn_name,runner_up_score,s_name,s_topo,s_sig,s_zone,s_geo,n_fires,margin,frac_x_diff,unmatch_reason
SCLPCOGN_2_8,SCLPCOGN_138KV_1,anchor,1.0,transformer_impedance,138,E_TNMP_PUN ,COAS,1,,,,,,,,,,0.0,
SCLPCOGN_1_9,SCLPCOGN_69KV_1,anchor,1.0,transformer_impedance,69,E_TNMP_PUN ,COAS,1,,,,,,,,,,0.0,
TNTNP_ONE_3,TNP_ONE_345KV_1,anchor,1.0,transformer_impedance,345,TNP_GEN    ,EAST,59,,,,,,,,,,0.0,
DDPEC_4_6,DDPEC_345KV_4,anchor,1.0,transformer_impedance,345,E_HARRIS   ,COAS,6,,,,,,,,,,0.0,
DIABOX_POI_8,DIB_138KV_1,anchor,1.0,transformer_impedance,138,CNP_COGN   ,COAS,1022,,,,,,,,,,0.0,
LYCHEM_POI_8,LHM_138KV_1,anchor,1.0,transformer_impedance,138,CNP_COGN   ,COAS,1022,,,,,,,,,,0.0,
CHE_1_8,CHE_138KV_1,anchor,1.0,transformer_impedance,138,E_HARRIS   ,COAS,2,,,,,,,,,,1.676445934620285e-05,
CAL_1_8,CAL_138KV_1,anchor,1.0,transformer_impedance,138,E_HARRIS   ,COAS,1,,,,,,,,,,0.0,
WARVUE_POI_8,WRN_138KV_1,anchor,1.0,transformer_impedance,138,CNP_COGN   ,COAS,1,,,,,,,,,,0.0,
BAYOU__POI_8,BYU_138KV_1,anchor,1.0,transformer_impedance,138,CNP_COGN   ,COAS,1,,,,,,,,,,0.0,
BVE_3_5,BVE_345KV_2,anchor,1.0,transformer_impedance,345,E_FORT BEND,COAS,3,,,,,,,,,,9.614460148072301e-05,
LIMEST_POI_5,ADK_345KV_1,anchor,1.0,transformer_impedance,345,CNP_TGN    ,COAS,0,,,,,,,,,,0.0006717850287907928,
LIMEST__B138,LEG_138KV_2,anchor,1.0,transformer_impedance,138,CNP_DIST   ,NCEN,0,,,,,,,,,,6.639665360860935e-05,
TECO___POI_8,TC_138KV_1,anchor,1.0,transformer_impedance,138,CNP_COGN   ,COAS,1022,,,,,,,,,,0.0,
EXN_1_9,SILASRAY_69KV_1,anchor,1.0,transformer_impedance,69,E_CNP_PUN  ,SOUT,3,,,,,,,,,,0.019111424541607958,
DOW_G37_G35,DOWGEN_138KV_6,anchor,1.0,transformer_impedance,138,E_CNP_PUN  ,COAS,24,,,,,,,,,,0.01936244247390284,
DOW_G96_ST95,DOWGEN_138KV_6,anchor,1.0,transformer_impedance,138,E_CNP_PUN  ,COAS,24,,,,,,,,,,0.03634458416060011,
DOWGEN_11_8,DOWGEN_138KV_13,anchor,1.0,transformer_impedance,138,E_CNP_PUN  ,COAS,6,,,,,,,,,,0.0,
